_a_a_wo_mie_ne_yu_tu_ao	啊啊窝咩呢鱼突熬
_yu_tuo_ta_zhao_zi_de_na_su	鱼托他照子得那苏
_yu_ze_ban_gua_yu_bie_pan_qiu	鱼则班瓜鱼别盘秋
_yu_wei_re_ruo_zhao_er_kan_jia	鱼为热弱照而看家
_yu_ni_tie_ren_you_er_te_tou	鱼你铁人有而特头
_yu_lei_ji_zui_dao_er_zan_xia	鱼累几最到而暂下
_yu_ti_die_shen_tiao_er_ze_zou	鱼体蝶伸条而则走
_yu_ce_pan_ga_zi_bi_can_rao	鱼侧盘嘎子比残饶
_yu_ji_lie_lu_yu_qi_jie_mo	鱼激烈路鱼七街么
_yu_nuo_nan_pa_dao_zi_die_ya	鱼诺南爬到子蝶压
_yu_gei_she_shuo_hao_zi_qie_cong	鱼给奢说耗子切从
_yu_se_man_jiao_yu_bo_ba_po	鱼色蛮娇鱼波巴坡
_yu_mo_man_chu_yu_duo_dan_ao	鱼墨漫出鱼多单骜
_yu_po_pan_zu_yu_fo_fan_kao	鱼坡盘租鱼佛反考
_yu_xi_qie_fou_zhi_suo_pi_nuo	鱼西切否之所皮诺
_yu_ruo_fang_liu_zi_ni_ran_chua	鱼若方流子你然欻
_yu_ran_dong_qu_lan_de_er_you	鱼然东去兰得而有
_yu_lun_kong_si_lan_tuo_er_cuo	鱼轮空司兰托而错
_yu_li_nie_zen_wo_mao_er_mou	鱼李捏怎我猫而某
_zhi_nei_zong_wo_zhi_lei_cong_bo	之内总我之累从波
_zhi_ei_e_yao_zhi_mei_ne_qiao	之诶诶幺之美呢桥
_zhi_bei_huo_liu_zhi_fei_zhua_shou	之北火流之飞抓手
_zhi_dong_chu_ya_fou_er_ke_kou	之东出呀否而可口
_zhi_que_ban_nie_xu_chu_che_kao	之却班捏须出车考
_zhi_bi_wang_zi_ta_zi_jia_rou	之比望子他子家柔
_zhi_bie_te_duan_liao_zhi_lv_guo	之别特断廖之驴过
_zhi_zhong_me_hua_shao_zhi_te_hao	之中梅花少之特好
_zhi_xue_xia_lei_shi_can_te_liao	之学下累是残特廖
_zi_duan_ye_dou_er_yong_di_dao	子断夜都而用地道
_zhi_gei_mi_cuo_er_zhu_yi_le	之给米错而注意了
_zhi_nu_kong_yu_fa_biao_er_hao	之奴空鱼发表而好
_zhi_nie_tan_cu_zhe_gao_er_dao	之捏探粗这高而道
_zhi_tie_dan_shu_ge_tao_er_mao	之铁蛋属歌涛而猫
_zhi_die_fan_shi_che_tong_zi_fang	之蝶翻是车通子房
_zhi_yi_fang_dui_tie_bao_zhi_zhuang	之一方对铁宝之状
_zhi_xi_tong_hui_xie_dao_er_yao	之系统回谢道而幺
_zhi_ji_yong_shui_jue_lao_er_liao	之几用水绝老而廖
_zhi_qi_dong_zui_lie_liu_er_jiao	之起动最烈流而交
_zhi_pi_guang_gui_nie_mao_yu_zhuo	之皮光规捏猫鱼卓
_zhi_ti_zhuang_sui_yue_tao_er_rao	之体装岁月涛而饶
_zhi_yong_nu_zhan_zhi_ao_yu_huo	之用奴站之傲鱼火
_zhi_zuo_yi_ye_ken_biao_er_tuo	之作一夜肯标而托
_zi_ei_tan_shuo_zi_bei_nan_ruo	子诶探说子被难弱
_zi_le_ka_mao_zi_e_da_ya	子了卡猫子俄大呀
_zi_ge_ha_lao_zi_me_ta_ma	子歌哈老子么他吗
_zi_tie_zhan_zuo_zi_lie_wan_suo	子铁站作子烈万索
_zi_nie_chan_cuo_er_xie_wang_jiu	子捏禅错而谢忘记
_zi_fei_gan_qu_ao_er_che_cou	子飞干去骜而车凑
_zi_nei_kan_chi_bao_er_ge_gou	子内看吃宝而歌钩
_zi_mei_lan_xu_bao_er_zhe_zou	子美兰须宝而这走
_zi_te_la_dou_zi_qi_da_tao	子特拉都子七大涛
_zi_pi_gong_biao_zi_mi_kong_qiu	子皮功标子米空秋
_zi_ne_ga_lu_zi_xi_ma_gao	子呢嘎路子西马高
_zi_ye_sha_ao_er_mi_re_kuo	子夜杀骜而米热扩
_zi_ti_cong_ta_zou_zi_yi_rou	子体从他走子一柔
_zi_di_zong_ri_ce_zhi_nv_luo	子地总日侧之女罗
_zi_lv_xue_tiao_er_pan_si_chuo	子驴雪条而盘丝戳
_zi_wo_wu_biao_er_tong_li_ke	子我无标而通力可
_zi_fo_fu_tiao_zi_duo_du_you	子佛浮条子多多有
_zi_kuo_ku_jiu_zi_huo_hu_qiu	子扩苦酒子火火秋
_zi_mie_san_ce_er_tu_duan_ke	子灭三侧而途断可
_zi_yu_jue_biao_zi_nv_que_you	子鱼绝标子女却有
_zi_bie_zan_hu_te_zao_yu_chuo	子别赞胡特燥鱼戳
_er_mei_you_er_bei_jiu_er_shao	而没有而被酒而少
_er_ce_ya_er_se_jia_er_fou	而侧呀而色家而否
_er_yue_mou_er_jue_cuo_ni_yao	而月某而决绝错你幺
_er_gei_qiao_er_ye_jiao_er_zhao	而给乔而也交而照
_er_kong_bu_er_mie_zhu_er_suo	而恐怖而灭朱而索
_er_zu_jiao_er_ti_chuo_er_zhuo	而足交而体戳而卓
_er_cu_qiao_er_ni_shuo_er_jiu	而粗乔而你说而酒
_er_man_che_er_fan_she_er_dou	而满车而反奢而斗
_er_qie_su_zi_po_pu_er_du	而切苏子坡普而独
_yu_dui_liao_yu_sui_chou_er_hou	鱼对廖鱼岁愁而后
_yu_ei_ya_yu_bei_jia_er_tiao	鱼诶呀鱼倍加而条
_yu_mei_qiu_yu_fei_liu_er_zuo	鱼梅秋鱼飞流而作
_yu_shui_hou_zhi_sui_rao_er_shou	鱼水后之随绕而手
_yu_hui_dou_zhi_zui_se_er_chou	鱼回斗之最色而愁
_yu_zui_biao_zi_sui_wo_li_dou	鱼最标子随我里斗
_yu_gui_fou_zhi_shui_ze_er_zhou	鱼归否之水则而州
_yu_lie_gao_yu_jie_kao_er_kao	鱼列高鱼结考而考
_yu_qie_hao_yu_tie_rao_zi_zuo	鱼切好鱼铁绕子作
_yu_die_zao_er_li_ruo_yu_cuo	鱼蝶燥而里若鱼错
_zhi_dui_fu_zhi_hui_chua_er_kou	之对付之回欻而口
_zhi_wei_ba_zhi_jue_jia_yu_mou	之尾巴之绝家鱼某
_zhi_di_kou_zhi_he_chao_er_bao	之地口之和超而宝
_zhi_ge_dao_er_ne_nou_er_shuo	之歌道而呢耨而说
_zhi_lie_na_zhi_qie_ga_zi_can	之列那之切噶子残
_zhi_ju_suo_ri_gui_me_ri_fo	之居所日规么日佛
_zhi_mie_ma_zhi_jie_la_er_huo	之灭马之结啦而火
_zhi_zhe_nuo_zi_jue_zhua_zi_hou	之这诺子绝抓子后
_zhi_mi_gou_zhi_li_hou_er_zou	之米钩之里后而走
_zi_lei_tiao_zi_gui_kou_er_qiao	子累条子规口而俏
_zi_wei_jie_ci_shui_rou_er_biao	子伟结此水柔而标
_zi_gei_ce_zi_hui_shou_er_xiao	子给册子回首而肖
_zi_re_shao_er_ei_zao_zi_zhou	子热烧而诶燥子州
_zi_dui_gou_zi_zui_zhuo_er_zao	子对钩子最拙而燥
_zi_xie_shao_zhi_hua_tiao_er_chao	子谢少之花条而超
_zi_ze_mou_zi_ce_lao_er_chuo	子则某子册老而戳
_zi_mo_mu_er_que_qiu_er_gou	子莫木而却求而钩
_zi_zan_chao_zhi_guan_qiao_zi_chou	子赞超之观桥子愁
_zi_ke_luo_zi_luo_lu_zi_gu	子可罗子罗路子孤
_zi_xue_jiu_zi_nuo_nu_zi_wu	子学酒子诺奴子乌
_zi_zhuo_zu_zi_shuo_su_zhi_ran	子卓足子说苏子然
_er_neng_er_gu_zhi_zu_zhi_duan	而能而固之足之断
_er_ku_er_hu_zhi_su_zhi_cu	而哭而呼之苏之粗
_er_tie_mi_jiao_zhi_gu_yi_shou	而铁米胶之固一手
_zhi_ku_ti_qiao_zhi_hu_yi_mou	之哭啼桥之乎一某
_er_fu_er_mu_qu_shuo_si_shou	而父而母屈说四手
_er_lu_chi_lu_si_nu_ri_ru	而路赤路斯奴日如
_er_nu_shi_re_ci_tu_zhi_shu	而女是热此途之疏
_er_jie_si_sa_si_weng_er_xia	而结斯撒斯嗡而下
_er_kuo_pi_ta_li_ou_zhi_chu	而扩皮他里欧之初
_er_duo_qu_ou_zi_ou_zhi_beng	而多求欧子欧之蹦
_er_chu_yu_beng_zi_beng_zhi_mou	而出鱼蹦子蹦之某
_er_liu_yu_zhou_zi_bu_zhi_chou	而流鱼州子不之愁
_er_qiu_yu_dou_zi_dou_zhi_tou	而求鱼斗子斗之头
_er_me_qu_fou_zhi_she_ti_zhou	而么求否之舌体州
_zi_he_pi_tou_zhi_e_ni_rao	子和皮头之诶尼绕
_er_le_mi_zao_zhi_me_li_xiao	而勒米燥之么里肖
_zi_fou_zhi_dou_zi_kou_zhi_hou	子否之斗子口之后
_zi_gou_zhi_kou_zi_liao_zhi_jiao	子钩之口子廖之叫
_zi_jiao_zhi_qiao_zi_mou_zhi_fou	子叫之桥子某之否
_er_lao_yu_neng_zi_neng_zhi_gou	而老鱼能子能之钩
_er_ren_qu_qiao_zhi_tuo_xu_gao	而人求桥之托须高
_yi_fou_yu_tou_zi_tou_yu_liao	一否鱼头子头鱼廖
_yi_liao_yu_xiao_zi_xiao_zhi_ou	一廖鱼肖子肖之欧
_yi_shao_yu_yao_zi_yao_zhi_liao	一少鱼腰子腰之廖
_yi_chou_yu_hou_zi_zhua_zhi_zhou	一愁鱼后子抓之州
_zhi_duo_mi_xia_ri_se_shi_neng	之多米下日色是能
_zi_tuo_ti_za_er_fang_pi_cha	子托体咋而放屁叉
_yu_zhuang_zhi_du_er_gua_yi_la	鱼装之独而呱一啦
_yu_dong_yi_tiao_er_hua_yi_ka	鱼动一条而花一噶
_yu_yong_zhi_tu_er_kua_yi_ga	鱼用之途而夸一噶
_yu_guang_zhi_bu_er_wa_yi_na	鱼光之布而哇一那
_yu_tong_yi_jia_er_zhua_yi_ha	鱼通一家而抓一哈
_yu_dao_yu_chou_zi_pu_zhi_shou	鱼道鱼愁子扑之手
