_a_a_wo_mie_gao_nie_ne_shao	啊啊我灭高捏呢少
_ei_ei_du_she_diao_che_tuo_zao	诶诶毒蛇吊车托早
_bei_bei_tu_re_tiao_she_nuo_cao	贝贝徒惹条蛇诺操
_pei_pei_nu_ze_you_re_luo_sao	陪陪怒责有热络扫
_mei_mei_lu_ce_miu_ze_guo_yao	妹妹路测牛泽国要
_fei_fei_gu_se_diu_ce_kuo_niao	菲菲古色丢测阔鸟
_dei_dei_ku_ye_ke_zhua_luan_chao	嘚嘚枯叶可抓卵巢
_tei_tei_hu_bie_he_chua_ruan_shao	忒忒胡别和欻软烧
_nei_nei_zhu_pie_zhe_shua_zuan_rao	内内猪撇折刷钻绕
_lei_lei_chu_mie_che_wo_gua_lao	蕾蕾除灭车我挂老
_gei_gei_shu_die_she_bo_kua_gao	给给叔爹射波跨高
_kei_kei_ru_tie_re_po_hua_kao	剋剋如铁热破化靠
_hei_hei_zu_nie_ze_mo_zhua_hao	黑黑组聂则莫抓好
_zhei_zhei_cu_lie_ce_fo_chua_zhao	这这粗劣测佛欻找
_shei_shei_su_jie_se_duo_shua_chao	谁谁苏戒色多刷超
_zei_zei_yu_lia_tiao_e_ran_zao	贼贼与俩条愕然早
_wei_wei_nv_jia_you_me_duan_cao	微微女家有么段操
_dui_dui_lv_qia_miu_de_tuan_sao	对对绿恰缪的团扫
_tui_tui_ju_xia_diu_te_nuan_yao	推推巨侠丢特暖腰
_gui_gui_qu_wa_niu_ne_luan_niao	鬼鬼去挖牛呢鸾鸟
_kui_kui_xu_gua_liu_le_ruan_liao	葵葵序卦留了软料
_hui_hui_er_shi_chua_cuan_pa_dao	灰灰而是欻窜爬到
_zhui_zhui_zi_sha_jiu_ge_zuan_jiao	追追紫砂九个钻聊
_chui_chui_ci_za_qiu_ke_cuan_qiao	吹吹此砸球客窜桥
_shui_shui_si_ca_xiu_he_suan_xiao	谁谁诉擦修核算小
_rui_rui_zhi_gua_ran_zhe_wen_lou	蕊蕊直挂染着问楼
_zui_zui_chi_kua_duan_ri_shua_tao	最最吃跨段日刷套
_cui_cui_shi_hua_tuan_a_suan_dou	翠翠石化团啊酸豆
_sui_sui_ri_zhua_nuan_ba_wen_tou	岁岁日抓暖把文投
_ao_ang_ye_yi_lue_qi_yue_xiao	奥昂业已掠起月销
_bao_bang_bie_bi_jue_xi_nue_mou	堡邦别逼觉戏虐某
_pao_pang_pie_pi_que_wu_nue_fou	跑旁撇皮却无虐否
_mao_mang_mie_mi_xue_bu_lue_dou	毛忙咩米雪不略都
_dao_dang_die_di_ei_ya_yong_ao	到当叠底欸呀永奥
_tao_tang_tie_ti_bei_dia_dong_bao	讨糖铁蹄被嗲东宝
_nao_nang_nie_ni_pei_lia_tong_pao	闹囊捏你配俩同跑
_lao_lang_lie_li_mei_jia_nong_mao	老狼列里每家农贸
_gao_gang_ga_sun_dui_qia_long_dao	高岗噶孙对掐龙岛
_kao_kang_ka_fang_qie_pu_gong_tao	靠康卡方且普工套
_hao_hang_ha_wang_xie_mu_jue_tou	好航哈王谢幕绝投
_zhao_zhang_zha_guang_yue_fu_que_nen	找张轧光岳父却嫩
_chao_chang_cha_kuang_nue_du_xue_lou	超长插框虐督学楼
_shao_shang_sha_huang_lue_tu_ei_ou	烧伤沙皇略图欸偶
_rao_rang_jie_ji_fei_xia_kong_nao	扰攘阶级废虾空闹
_zao_zang_za_zhuang_jue_nu_bei_ben	早藏咋装绝怒被本
_cao_cang_ca_chuang_que_lu_pei_pou	草仓擦窗却陆配剖
_sao_sang_sa_shuang_xue_gu_mei_mou	扫桑萨霜雪顾梅某
_yao_yang_tuo_la_dun_tui_wa_nao	要养拖拉蹲腿哇闹
_niao_niang_nuo_ga_tun_gui_gua_qiao	鸟娘诺尬屯贵挂桥
_liao_liang_luo_ka_lun_kui_kua_xiao	嘹亮罗卡伦奎跨校
_jiao_jiang_guo_ha_gun_hui_hua_chou	椒江过哈滚绘画抽
_qiao_qiang_kuo_zha_kun_zhui_zhua_shou	敲墙阔扎昆追抓手
_xiao_xiang_huo_cha_hun_chui_chua_rou	小巷或察浑吹欻肉
_ou_en_eng_zhuo_sha_xiong_re_rou	欧恩鞥卓杀兄热肉
_ben_beng_chuo_za_zhun_shui_shua_cun	本崩戳咋准水刷村
_pou_pen_peng_shuo_ca_zhong_ze_pou	剖喷鹏说擦重则剖
_mou_men_meng_ruo_sa_chong_ce_mou	某门梦若撒重测某
_fou_fen_feng_zuo_ya_rong_se_fou	否分封做雅容色否
_dou_deng_cuo_dia_chun_rui_wo_miu	都等错嗲纯瑞我谬
_tou_teng_suo_lia_shun_zui_bo_diu	头疼所俩顺嘴波丢
_nen_neng_e_wa_run_cui_po_niu	嫩能额哇润催迫牛
_lou_leng_me_gua_zun_sui_mo_liu	楼冷么挂尊岁末牛
_gou_gen_geng_de_yi_dei_fo_shou	狗跟更得意得佛手
_kou_ken_keng_te_bi_tei_duo_rou	口肯坑特比忒多肉
_hou_hen_heng_ne_pi_nei_tuo_zou	后很横呢皮内拖走
_zhou_zhen_zheng_le_mi_lei_nuo_cou	周真正勒米雷诺凑
_chou_chen_cheng_ge_di_gei_luo_sou	抽陈诚各地给罗搜
_shou_shen_sheng_ke_ti_kei_guo_biao	受神圣课题剋国标
_rou_ren_reng_he_ni_hei_kuo_piao	柔韧仍和你黑阔票
_zou_zen_zeng_zhe_li_zhei_huo_miao	走怎增这里这火苗
_cou_cen_ceng_che_ji_shei_zhuo_diao	凑岑蹭车及谁卓掉
_sou_sen_seng_she_qi_zei_chuo_tiao	搜森僧舍弃贼戳条
_biao_biao_ran_zong_ma_zong_duo_chou	表表冉总马总多愁
_piao_piao_duan_cong_fa_shi_po_hou	飘飘段从法师泼猴
_miao_miao_tuan_song_da_ri_mo_zhou	喵喵团送达日莫州
_diao_diao_nuan_yi_ju_cha_tu_tao	调调暖一句插图套
_tiao_tiao_luan_bi_qu_sha_nu_nao	跳跳乱必去杀怒闹
_you_you_ruan_pi_xu_za_lu_lao	又有软皮需杂录老
_miu_miu_zuan_mi_er_chi_si_mao	缪缪钻密耳赤思茅
_diu_diu_cuan_di_zi_ha_gu_gao	丢丢窜弟子哈孤高
_niu_niu_suan_ti_ci_zha_ku_kao	妞妞算题刺扎库靠
_liu_liu_wen_ni_si_cha_hu_hao	六六温妮斯茶壶好
_jiu_jiu_dun_li_zhi_lia_zhu_zhao	九九吨离职俩烛照
_qiu_qiu_tun_ji_chi_jia_chu_chao	球球囤积持家初潮
_xiu_xiu_lun_qi_shi_qia_shu_shao	秀秀论起时恰树梢
_ran_ran_gun_xi_ri_xia_ru_rao	然然滚昔日下入绕
_duan_duan_fang_shu_shua_zu_ti_kao	短短防暑刷组替考
_tuan_tuan_wang_ru_wo_dei_shuo_dou	团团王如我得说都
_nuan_nuan_guang_zu_bo_tei_ruo_tou	暖暖光祖波忒若头
_luan_luan_kuang_cu_po_nei_zuo_nen	乱乱狂粗破内做嫩
_ruan_ruan_huang_su_mo_lei_cuo_lou	软软黄素莫雷错漏
_zuan_zuan_zhuang_yu_fa_cu_ni_hao	钻钻状语发粗你好
_cuan_cuan_chuang_nv_da_su_li_zhao	窜窜床女大苏黎昭
_suan_suan_shuang_lv_ta_yu_kua_rao	算算双率他与夸绕
_wen_wen_yong_ju_na_nv_hua_zao	问问用具那女花藻
_dun_dun_dong_qu_la_lv_zhua_cao	顿顿东区拉吕抓操
_tun_tun_tong_xu_ga_ju_chua_sao	吞吞铜须噶句欻扫
_lun_lun_nong_er_zhi_wa_qu_pao	轮轮浓而织袜去泡
_gun_gun_long_zi_ta_xu_shua_yao	滚滚笼子他徐刷要
_kun_kun_gong_ci_na_er_ri_mao	坤坤宫词那尔日毛
_hun_hun_kong_si_la_zi_sa_niao	混混空司拉兹萨鸟
_zhun_zhun_hong_zhi_cha_ci_ya_liao	准准红只差雌鸭寮
_chun_chun_jiong_chi_sha_si_dia_jiao	春春囧吃沙司嗲交
_shun_shun_qiong_shi_za_zhi_wo_gou	顺顺穷士杂志我够
_run_run_xiong_ri_ca_chi_bo_kou	润润凶日擦赤膊口
_zun_zun_zhong_a_tie_wo_cui_qiao	尊尊中阿贴我翠巧
_cun_cun_chong_ba_nie_bo_sui_xiao	村村冲吧聂伯虽小
_sun_sun_rong_pa_lie_po_you_long	孙孙荣帕列波游龙
_fang_fang_yi_hu_fo_gei_suo_fou	芳芳一胡佛给所否
_wang_wang_bi_zhu_duo_kei_e_yao	往往比猪多剋扼要
_guang_guang_pi_chu_tuo_hei_me_niao	逛逛辟除脱黑么鸟
_kuang_kuang_mi_shu_nuo_zhei_de_liao	框框秘书诺这得了
_huang_huang_di_ru_luo_shei_te_jiao	黄黄底乳络谁特教
_zhuang_zhuang_ti_zu_guo_zei_ne_qiao	壮壮题组国贼呢桥
_chuang_chuang_ni_cu_kuo_wei_le_xiao	闯闯你粗扩为了小
_shuang_shuang_li_su_huo_dui_ge_ou	双双李素或对各偶
_yong_yong_ji_yu_ka_mu_ji_nao	用用基于卡姆激恼
_dong_dong_qi_nv_ha_fu_qi_lao	东东妻女哈芙其老
_tong_tong_xi_lv_zha_du_xi_gao	统统希律扎渡西高
_nong_nong_wu_da_jie_mo_tui_shao	浓浓五嗲芥末退烧
_long_long_bu_ta_qie_fo_gui_rao	龙龙不塌且佛规绕
_gong_gong_pu_na_xie_duo_kui_zao	公共普纳写多亏早
_kong_kong_mu_la_yue_tuo_hui_cao	空空穆拉越拖会操
_hong_hong_fu_ga_nue_nuo_zhui_sao	红红腹噶虐诺追烧
_jiong_jiong_du_ka_lue_luo_chui_yao	炯炯读卡略落槌要
_qiong_qiong_tu_ha_jue_guo_shui_niao	琼琼吐哈觉果水鸟
_xiong_xiong_nu_zha_que_kuo_rui_liao	熊熊怒炸却阔蕊了
_zhong_zhong_lu_cha_xue_huo_zui_jiao	中中路查血或嘴角
_chong_chong_gu_sha_ei_dong_ya_ou	崇崇古沙欸东亚偶
_rong_rong_ku_za_bei_tong_dia_ben	蓉荣枯咋悲痛嗲本
_zong_zong_hu_ca_pei_nong_lia_pou	总总胡擦配弄俩剖
_cong_cong_zhu_sa_mei_long_jia_mou	匆匆著萨梅隆加缪
_song_song_chu_ya_fei_gong_qia_fou	松松出牙飞贡恰否
_yi_yi_wu_dia_dei_kong_xia_dou	依依五嗲得空暇都
_bi_bi_bu_lia_tei_hong_wa_tou	比比不俩忒红袜头
_pi_pi_pu_jia_nei_jiong_gua_nen	皮皮普加内囧挂嫩
_mi_mi_mu_qia_lei_qiong_kua_lou	秘密目恰雷穹跨楼
_di_di_fu_xia_gei_xiong_hua_gou	滴滴俯下给熊花狗
_ti_ti_du_wa_kei_zhong_zhua_kou	提提杜瓦剋中抓扣
_ni_ni_tu_gua_hei_chong_chua_hou	妮妮图挂黑冲欻后
_li_li_nu_kua_zhei_rong_shua_zhou	李丽奴跨这榕刷周
_ji_ji_lu_hua_shei_zong_wo_liao	集集鹿花谁总我聊
_qi_qi_gu_zhua_zei_cong_bo_jiao	七七谷抓贼从跛脚
_xi_xi_ku_chua_wei_song_po_qiao	喜喜库欻未送破桥
_wu_wu_yu_shi_sa_cong_mo_xiao	五五于是撒从磨削
_bu_bu_nv_ri_ya_song_fo_ou	步步女日押送佛偶
_pu_pu_lv_a_dui_yi_tui_lao	噗噗绿啊对一推老
_mu_mu_ju_ba_tui_bi_gui_gao	沐沐聚吧退避贵高
_fu_fu_qu_pa_gui_pi_kui_kao	夫妇去爬桂皮亏靠
_du_du_xu_ma_kui_mi_hui_hao	嘟嘟需马奎密会好
_tu_tu_er_ci_ga_ni_wei_zhao	兔兔二次尕妮韦昭
_nu_nu_zi_ri_dia_li_dui_chao	努努紫日嗲里对朝
_lu_lu_ci_a_hui_di_zhui_ao	露露次啊惠帝追奥
_gu_gu_si_ba_zhui_ti_chui_bao	姑姑四八椎体锤爆
_ku_ku_zhi_fa_chui_ni_shui_pao	苦苦执法吹你水泡
_hu_hu_chi_da_shui_li_rui_mao	呼呼吃大水里瑞毛
_zhu_zhu_shi_ta_rui_ji_zui_dao	猪猪是他瑞吉醉倒
_chu_chu_ri_na_zui_qi_cui_tao	处处日娜最气催讨
_shu_shu_a_re_sui_xi_sui_nao	叔叔啊热随喜随闹
_ru_ru_ba_ze_biao_mie_zuo_ben	如如巴泽表灭做本
_zu_zu_pa_ce_piao_die_cuo_pou	足足怕测票跌挫剖
_cu_cu_ma_se_miao_tie_suo_mou	粗粗马瑟秒铁索某
_su_su_fa_ye_e_kua_pu_dao	速速法爷额跨扑到
_yu_yu_er_si_ka_bu_yue_pou	郁郁而死卡不约剖
_nv_nv_zi_pa_cui_wu_qie_ou	女女子怕崔五且偶
_lv_lv_ci_ma_sui_bu_xie_ben	屡屡此马燧不写本
_ju_ju_si_fa_biao_se_hua_shao	句句司法标色花哨
_qu_qu_zhi_la_piao_ye_me_zao	去取汁拉票也么早
_xu_xu_chi_ga_miao_bie_de_cao	需需持噶秒别的操
_er_er_zi_da_diao_pie_te_sao	尔尔子打掉撇特骚
_zi_zi_zhi_ka_yi_a_mi_ao	字字纸卡以阿米奥
_ci_ci_chi_ha_bi_ba_di_bao	此次吃哈比八低保
_si_si_shi_zha_pi_pa_ti_pao	四四使诈琵琶踢泡
_zhi_zhi_a_bie_zhuo_jia_ji_mao	直至啊别卓佳鸡毛
_chi_chi_ba_pie_chuo_qia_qi_dao	吃吃吧别戳恰奇道
_shi_shi_pa_mie_shuo_xia_xi_tao	是是怕咩说下西逃
_ri_ri_ma_die_ruo_wa_wu_mao	日日马蝶若哇五毛
_er_a_hong_liu_gong_ei_sa_jiong	而啊洪流共欸撒囧
_er_xu_su_di_xie_ri_ci_dao	而需速递谢日刺刀
_er_e_ri_zi_er_qu_cu_zao	而额日子而去粗造
_er_ba_qiong_lao_ri_er_ju_mao	而把穷老日而橘猫
_er_yu_yi_wo_yu_wu_fei_a	而予以我与无非啊
_er_nv_bi_bo_nv_bu_dei_ba	儿女碧波女不得把
_er_lv_pi_po_lv_pu_tei_pa	而绿皮破吕普忒怕
_er_wo_mi_mo_ju_mu_nei_ma	而我秘魔剧目内码
_er_bo_di_fo_qu_fu_lei_fa	而博迪佛曲父类发
_er_po_ti_duo_xu_du_gei_da	而破题多虚度给大
_er_mo_ni_e_yu_tu_kei_ta	而模拟额玉兔剋他
_er_fo_li_me_nv_nu_hei_na	而佛理么女奴黑那
_er_duo_ji_de_lv_lu_zhei_la	耳朵记得吕禄这啦
_er_tuo_qi_te_ju_gu_shei_ga	尔托奇特距骨谁噶
_er_nuo_xi_ne_qu_ku_zei_ka	而诺西呢曲库贼卡
_er_zhu_yi_le_xu_hu_wei_ha	而注意了徐虎为哈
_er_chu_bi_niu_yu_zhu_dui_zha	而出比牛与主队炸
_er_shu_pi_liu_nv_chu_tui_cha	耳鼠皮瘤女出退差
_er_ru_mi_jiu_lv_shu_gui_sha	而入米酒绿树鬼煞
_er_ji_zuo_qiu_ju_ru_kui_za	而级左丘惧汝魁咋
_er_qi_cuo_xiu_qu_zu_hui_ca	而期错修去组会擦
_er_xi_suo_jiu_xu_mi_chang_rao	儿媳所救须弥长绕
_er_zu_jiao_zu_zun_jie_zhi_zong	而祖教祖尊戒指总
_er_cu_qiao_cu_cun_qie_chi_cong	而簇桥粗村切齿从
_er_su_xiao_su_sun_xie_shi_song	而速小苏孙协是送
_er_luo_er_wu_zhun_de_zhu_zhui	而落而五准的铸锥
_er_me_er_bu_chun_te_chu_chui	儿么而不纯特出吹
_er_ye_er_pu_shun_ne_shu_shui	而耶尔普顺呢熟睡
_er_you_er_mu_run_le_ru_rui	而又耳目润了如瑞
_er_di_zhuo_zhi_zhuo_zhu_zuan_za	而地卓志捉住钻咋
_er_ti_chuo_chi_chuo_chu_cuan_ca	而提戳吃戳出窜擦
_er_ni_shuo_shi_shuo_shu_suan_sa	而你说是说数算撒
_er_li_ruo_ri_ruo_ru_ruan_ya	而立若日若如软呀
_er_du_ran_ge_bu_fang_ruan_ma	而度染个不放软麻
_er_tu_duan_ke_pu_wang_zuan_fa	而图段克普王钻发
_er_nu_tuan_he_mu_guang_cuan_da	而怒团河目光窜大
_er_lu_nuan_zhe_fu_kuang_suan_ta	而路暖着富矿算他
_er_gu_luan_che_du_huang_wen_na	耳鼓乱扯毒皇温拿
_er_ku_gun_she_tu_zhuang_dun_la	而哭滚设涂装顿啦
_er_hu_kun_re_nu_chuang_tun_ga	而沪昆惹怒床屯嘎
_er_fu_hun_me_lu_shuang_lun_ka	而复混么路双轮卡
_er_yi_zhe_gu_wen_die_lun_ha	而已这个文叠论哈
_er_bi_che_ku_dun_tie_gun_zha	耳鼻车库蹲贴滚轧
_er_pi_she_hu_tun_nie_kun_cha	而皮射虎屯捏坤查
_er_mi_re_wu_lun_lie_hun_sha	而米热舞论列婚纱
_er_bie_ku_en_e_xi_tuo_ran	而别哭嗯额洗脱然
_er_pie_hu_ben_ze_zu_zong_jiu	而撇护本则祖宗就
_er_mie_zhu_pen_ce_cu_cong_qiu	而灭诸喷测粗从求
_er_die_chu_men_se_su_song_xiu	而叠出门色素送修
_er_tie_shu_feng_ran_nue_fang_bei	儿帖数峰然虐防备
_er_nie_ru_deng_duan_lue_wang_pei	而嗫嚅等段略王培
_er_lie_zu_teng_tuan_jue_zi_zong	而列祖腾团橛子总
_er_jie_cu_neng_nuan_que_ci_cong	而节粗能暖阙词从
_er_qie_su_leng_luan_xue_si_song	而且速冷乱学四送
_er_xie_yu_e_zi_ju_ge_dun	而写余额字句个盾
_er_yue_nv_me_ci_qu_ke_tun	而越女么辞去可吞
_er_nue_lv_de_si_xu_he_lun	而虐率的思绪赫伦
_er_lue_ju_te_zhi_ju_zhe_gun	而略具特之举这滚
_er_jue_qu_ne_chi_qu_che_kun	而绝去呢吃驱车困
_er_que_xu_le_shi_xu_she_hun	而却续了时序摄魂
_er_xue_gou_bu_cang_ben_bo_duan	耳穴够不藏本波段
_er_de_dou_pu_sang_pen_po_tuan	尔德都普桑喷破团
_er_te_tou_mu_yang_men_mo_nuan	尔特头目杨门莫暖
_er_ne_nou_fu_niang_fen_fo_luan	儿呢耨妇娘粉佛乱
_er_le_lou_du_liang_nen_duo_ruan	儿了楼度良嫩多软
_er_ge_gou_tu_geng_gen_tuo_zuan	儿哥狗图更根托钻
_er_ke_kou_nu_keng_ken_nuo_cuan	儿可口努坑肯诺窜
_er_he_hou_lu_heng_hen_luo_suan	儿和后路横狠落酸
_er_zhe_zou_gu_zheng_zhen_guo_wen	儿这走谷正真国文
_er_che_cou_ku_cheng_chen_kuo_dun	儿车凑库成陈阔顿
_er_she_sou_hu_sheng_shen_huo_tun	儿蛇搜虎声深火吞
_er_re_rou_zhu_reng_ren_zhuo_lun	儿热肉猪仍人拙伦
_er_ze_zou_chu_zeng_zen_chuo_gun	儿则走出增怎戳棍
_er_ce_cou_shu_ceng_cen_shuo_kun	儿策凑书层岑说困
_er_se_sou_ru_seng_sen_ruo_hun	儿色搜入僧森弱魂
_er_guo_jiong_gun_zuo_zi_yue_gua	儿国窘棍坐字月瓜
_er_kuo_qiong_kun_cuo_ci_nue_kua	儿扩穷困错词虐夸
_er_huo_xiong_hun_suo_si_lue_hua	儿火熊魂锁思掠华
_er_zhuo_zhong_zhun_diu_zi_jue_zhua	儿卓中准丢字决抓
_er_chuo_chong_chun_niu_ci_que_chua	儿戳虫春牛刺缺歘
_er_shuo_rong_shun_liu_si_xue_shua	儿说容顺流思雪刷
_er_zuo_zong_zun_jiu_zhi_jue_jia	儿做宗尊酒只决家
_er_cuo_cong_cun_qiu_chi_que_qia	儿错从存秋吃缺掐
_er_suo_song_sun_xiu_shi_xue_xia	儿锁松孙秀诗雪下
_zi_wo_wu_biao_yi_nuo_yong_mei	自我无表以诺用美
_zi_bo_bu_piao_bi_luo_dong_fei	自播步飘比落动飞
_zi_po_pu_miao_pi_guo_tong_dei	自坡普苗皮果通得
_zi_mo_mu_diao_mi_kuo_nong_tei	自墨木雕米阔农忒
_zi_fo_fu_tiao_di_huo_long_nei	自佛服条地火龙内
_zi_duo_du_you_ti_ge_gong_lei	自多度游提个工雷
_zi_tuo_tu_miu_ni_ke_kong_gei	自托图谬你可孔给
_zi_nuo_nu_diu_li_he_hong_kei	自诺努丢李合红剀
_zi_luo_lu_niu_ji_ze_jiong_hei	自落路牛几则窘黑
_zi_guo_gu_liu_qi_ce_qiong_zhei	自国古流气策穷这
_zi_kuo_ku_jiu_xi_se_xiong_shei	自扩库酒西色熊谁
_zi_huo_hu_qiu_wu_gong_deng_zei	自火胡秋无功登贼
_zi_zhuo_zu_xiu_wo_gong_teng_wei	自卓组秀我功腾为
_zi_chuo_cu_yong_yang_niang_liang_jiang	自戳簇拥阳娘两将
_zi_shuo_su_rong_qiang_xiang_eng_run	自说素容强相恩润
_er_pa_zhi_zuo_yi_ye_ken_biao	而怕之作一叶肯表
_er_ma_zhi_cuo_bi_bie_hen_piao	而马之错比别狠飘
_er_fa_zhi_suo_pi_pie_zhen_miao	而发之所披撇真妙
_er_dan_bei_yu_di_mie_chen_diao	而单被与地灭尘掉
_er_tan_pei_yu_ti_die_shen_tiao	而谭配与体跌神调
_er_nan_mei_yu_ni_tie_ren_you	而南美与泥铁人友
_er_lan_fei_yu_li_nie_zen_miu	而兰飞与李捏怎谬
_er_gan_dei_yu_ji_lie_cen_zei	而干得与极力岑贼
